"Story","Title","Result","Date","Stability","Duration (s)"
"Comparar Prendas","Comparar tres prendas","PENDING","2021-01-12T11:27:39.8727526-03:00[America/Buenos_Aires]","0.0","12.76"
"Comparar Prendas","Seleccionar mas de tres prendas para comparar","PENDING","2021-01-12T11:27:53.2514897-03:00[America/Buenos_Aires]","0.0","16.89"
"Barra De Busqueda","Buscar producto existente","SUCCESS","2021-03-31T08:22:42.9546876-05:00[America/Bogota]","0.0","11.39"
"Barra De Busqueda","Buscar producto inexistente","SUCCESS","2021-03-31T08:22:55.0747962-05:00[America/Bogota]","0.0","9.49"
"Completar compra","Validacion De Compra exitosa","SUCCESS","2021-03-31T08:23:05.3480353-05:00[America/Bogota]","0.0","41.97"
"Completar compra","Compras sin usuario","SUCCESS","2021-03-31T08:23:48.0586626-05:00[America/Bogota]","0.0","24.17"
"catalogo secundario","desplazamiento entre catalogos","PENDING","2021-03-31T08:24:12.9599967-05:00[America/Bogota]","0.0","2.12"
"Menu categoria","Ingresar a una Categoría","PENDING","2021-03-31T08:24:15.8441644-05:00[America/Bogota]","0.0","2.1"
"Menu categoria","Ingresar a una Subcategoría","PENDING","2021-03-31T08:24:18.67152-05:00[America/Bogota]","0.0","2.29"
"Comparar Prendas","Comparar una prenda","SUCCESS","2021-03-31T08:24:21.6088005-05:00[America/Bogota]","0.0","14.79"
"Comparar Prendas","Comparar dos prendas","SUCCESS","2021-03-31T08:24:37.150512-05:00[America/Bogota]","0.0","17.38"
"Comparar Prendas","Comparar cuatro prendas","SUCCESS","2021-03-31T08:24:55.2470112-05:00[America/Bogota]","0.0","16.04"
"Historial de pedidos","PDF de orden de compra","SUCCESS","2021-03-31T08:25:24.2982837-05:00[America/Bogota]","0.0","52.9"
"Historial de pedidos","Detalle de una orden de compra","SUCCESS","2021-03-31T08:26:17.9464822-05:00[America/Bogota]","0.0","51.97"
"Historial de pedidos","Reordenar una compra","SUCCESS","2021-03-31T08:27:10.755555-05:00[America/Bogota]","0.0","58.01"
"Login","Validación Login Exitoso","SUCCESS","2021-03-31T08:28:09.4992277-05:00[America/Bogota]","0.0","19.12"
"Login","Validación Login Fallido","SUCCESS","2021-03-31T08:28:29.3583965-05:00[America/Bogota]","0.0","15.45"
"Login","Nueva Contraseña","SUCCESS","2021-03-31T08:28:45.5550741-05:00[America/Bogota]","0.0","19.36"
"Visualizar Ofertas","Redirreción de oferta exitosa","SUCCESS","2021-03-31T08:29:05.7305005-05:00[America/Bogota]","0.0","34.07"
"Registro","Validacion Registro Fallido","FAILURE","2021-03-31T08:29:40.5545108-05:00[America/Bogota]","0.0","64.19"
"Registro","Validación Registro Exitoso","FAILURE","2021-03-31T08:30:45.5760264-05:00[America/Bogota]","0.0","69.42"
"Busqueda palabra","buscar palabra","ERROR","2020-11-11T13:41:48.5544429-05:00[America/Bogota]","0.0","17.27"
